Date,Open,High,Low,Close,Adj Close,Volume
2020-10-13,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,1223
2020-10-14,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,905
2020-10-15,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,1079
2020-10-16,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,710
2020-10-19,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,5
2020-10-20,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,29
2020-10-21,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,490
2020-10-22,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,166
2020-10-23,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,0
2020-10-26,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,3990
2020-10-27,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,3324
2020-10-28,100000.000000,100000.000000,100000.000000,100000.000000,100000.000000,397
2020-10-29,100000.023438,100000.023438,100000.023438,100000.023438,100000.023438,14
2020-10-30,100000.023438,100000.023438,100000.023438,100000.023438,100000.023438,0
2020-11-02,123000.000000,123000.000000,123000.000000,123000.000000,123000.000000,117
2020-11-03,143000.000000,143000.000000,143000.000000,143000.000000,143000.000000,29541
2020-11-04,143999.000000,143999.000000,143999.000000,143999.000000,143999.000000,289224
2020-11-05,135000.000000,135000.000000,135000.000000,135000.000000,135000.000000,5863
2020-11-06,140000.000000,140000.000000,140000.000000,140000.000000,140000.000000,100
2020-11-09,138000.000000,138000.000000,138000.000000,138000.000000,138000.000000,143
2020-11-10,137000.000000,137000.000000,137000.000000,137000.000000,137000.000000,933
2020-11-11,137000.000000,137000.000000,137000.000000,137000.000000,137000.000000,55178
2020-11-12,137000.000000,137000.000000,137000.000000,137000.000000,137000.000000,400
2020-11-13,140000.000000,140000.000000,140000.000000,140000.000000,140000.000000,361
2020-11-16,140000.000000,140000.000000,140000.000000,140000.000000,140000.000000,42
2020-11-17,140000.000000,140000.000000,140000.000000,140000.000000,140000.000000,38
2020-11-18,138000.000000,138000.000000,138000.000000,138000.000000,138000.000000,32
2020-11-19,138000.000000,138000.000000,138000.000000,138000.000000,138000.000000,74
2020-11-20,140000.000000,140000.000000,140000.000000,140000.000000,140000.000000,1705
2020-11-24,140000.000000,140000.000000,140000.000000,140000.000000,140000.000000,2055
2020-11-25,155000.000000,155000.000000,155000.000000,155000.000000,155000.000000,90185
2020-11-26,175000.000000,175000.000000,175000.000000,175000.000000,175000.000000,1067
2020-11-27,175000.000000,175000.000000,175000.000000,175000.000000,175000.000000,0
2020-11-30,260000.000000,260000.000000,260000.000000,260000.000000,260000.000000,237
2020-12-01,260000.000000,260000.000000,260000.000000,260000.000000,260000.000000,676
2020-12-02,259990.000000,259990.000000,259990.000000,259990.000000,259990.000000,291737
2020-12-03,258990.000000,258990.000000,258990.000000,258990.000000,258990.000000,63
2020-12-04,259000.000000,259000.000000,259000.000000,259000.000000,259000.000000,372
2020-12-07,299000.000000,299000.000000,299000.000000,299000.000000,299000.000000,489
2020-12-08,294990.000000,294990.000000,294990.000000,294990.000000,294990.000000,311
2020-12-09,284000.000000,284000.000000,284000.000000,284000.000000,284000.000000,238
2020-12-10,280000.000000,280000.000000,280000.000000,280000.000000,280000.000000,644
2020-12-11,289000.000000,289000.000000,289000.000000,289000.000000,289000.000000,167
2020-12-15,317990.000000,317990.000000,317990.000000,317990.000000,317990.000000,1230
2020-12-16,260000.000000,260000.000000,260000.000000,260000.000000,260000.000000,2478
2020-12-17,270000.000000,270000.000000,270000.000000,270000.000000,270000.000000,368
2020-12-18,250000.000000,250000.000000,250000.000000,250000.000000,250000.000000,171
2020-12-21,250000.000000,250000.000000,250000.000000,250000.000000,250000.000000,289308
2020-12-22,250000.000000,250000.000000,250000.000000,250000.000000,250000.000000,0
2020-12-23,260000.000000,260000.000000,260000.000000,260000.000000,260000.000000,8812
2020-12-28,265000.000000,265000.000000,265000.000000,265000.000000,265000.000000,1004
2020-12-29,285000.000000,285000.000000,285000.000000,285000.000000,285000.000000,165
2020-12-30,317990.000000,317990.000000,317990.000000,317990.000000,317990.000000,664
2021-01-04,360000.000000,360000.000000,360000.000000,360000.000000,360000.000000,7159
2021-01-05,390000.000000,390000.000000,390000.000000,390000.000000,390000.000000,4884
2021-01-06,390000.000000,390000.000000,390000.000000,390000.000000,390000.000000,72
2021-01-07,435010.000000,435010.000000,435010.000000,435010.000000,435010.000000,10878
2021-01-08,522000.000000,522000.000000,522000.000000,522000.000000,522000.000000,116
2021-01-12,595000.000000,595000.000000,595000.000000,595000.000000,595000.000000,227
2021-01-13,522000.000000,522000.000000,522000.000000,522000.000000,522000.000000,5150
2021-01-14,500010.000000,500010.000000,500010.000000,500010.000000,500010.000000,1763
2021-01-15,501000.000000,501000.000000,501000.000000,501000.000000,501000.000000,1648
2021-01-19,539990.000000,539990.000000,539990.000000,539990.000000,539990.000000,88
2021-01-20,540000.000000,540000.000000,540000.000000,540000.000000,540000.000000,180
2021-01-21,567000.000000,567000.000000,567000.000000,567000.000000,567000.000000,132
2021-01-22,567000.000000,567000.000000,567000.000000,567000.000000,567000.000000,15
2021-01-25,567000.000000,567000.000000,567000.000000,567000.000000,567000.000000,0
2021-01-26,567000.000000,567000.000000,567000.000000,567000.000000,567000.000000,2265
2021-01-27,600000.000000,600000.000000,600000.000000,600000.000000,600000.000000,290160
2021-01-28,602000.000000,602000.000000,602000.000000,602000.000000,602000.000000,50
2021-01-29,602000.000000,602000.000000,602000.000000,602000.000000,602000.000000,64
2021-02-01,602000.000000,602000.000000,602000.000000,602000.000000,602000.000000,91
2021-02-02,602000.000000,602000.000000,602000.000000,602000.000000,602000.000000,8
2021-02-03,602000.000000,602000.000000,602000.000000,602000.000000,602000.000000,13
2021-02-04,599990.000000,599990.000000,599990.000000,599990.000000,599990.000000,1459
2021-02-05,550000.000000,550000.000000,550000.000000,550000.000000,550000.000000,21267
2021-02-08,550000.000000,550000.000000,550000.000000,550000.000000,550000.000000,0
2021-02-09,500000.000000,500000.000000,500000.000000,500000.000000,500000.000000,3632
2021-02-10,520000.000000,520000.000000,520000.000000,520000.000000,520000.000000,8923
2021-02-11,530000.000000,530000.000000,530000.000000,530000.000000,530000.000000,6
2021-02-12,530000.000000,530000.000000,530000.000000,530000.000000,530000.000000,108
2021-02-17,550000.000000,550000.000000,550000.000000,550000.000000,550000.000000,2824
2021-02-18,550000.000000,550000.000000,550000.000000,550000.000000,550000.000000,3576
2021-02-19,550000.000000,550000.000000,550000.000000,550000.000000,550000.000000,4848
2021-02-22,550000.000000,550000.000000,550000.000000,550000.000000,550000.000000,384
2021-02-23,520000.000000,520000.000000,520000.000000,520000.000000,520000.000000,1103
2021-02-24,530000.000000,530000.000000,530000.000000,530000.000000,530000.000000,2047
2021-02-25,530000.000000,530000.000000,530000.000000,530000.000000,530000.000000,939
2021-02-26,570000.000000,570000.000000,570000.000000,570000.000000,570000.000000,1033
2021-03-01,570000.000000,570000.000000,570000.000000,570000.000000,570000.000000,1690
2021-03-02,570000.000000,570000.000000,570000.000000,570000.000000,570000.000000,1225
2021-03-03,571000.000000,571000.000000,571000.000000,571000.000000,571000.000000,328
2021-03-04,571000.000000,571000.000000,571000.000000,571000.000000,571000.000000,1272
2021-03-05,575000.000000,575000.000000,575000.000000,575000.000000,575000.000000,7060
2021-03-08,575000.000000,575000.000000,575000.000000,575000.000000,575000.000000,582
2021-03-09,580000.000000,580000.000000,580000.000000,580000.000000,580000.000000,183
2021-03-10,600000.000000,600000.000000,600000.000000,600000.000000,600000.000000,504
2021-03-11,600000.000000,600000.000000,600000.000000,600000.000000,600000.000000,500
2021-03-12,600000.000000,600000.000000,600000.000000,600000.000000,600000.000000,220
2021-03-15,600000.000000,600000.000000,600000.000000,600000.000000,600000.000000,42
2021-03-16,650000.000000,650000.000000,650000.000000,650000.000000,650000.000000,10
2021-03-17,600000.000000,600000.000000,600000.000000,600000.000000,600000.000000,1207
2021-03-18,600000.000000,600000.000000,600000.000000,600000.000000,600000.000000,1311
2021-03-22,600000.000000,600000.000000,600000.000000,600000.000000,600000.000000,630
2021-03-23,600050.000000,600050.000000,600050.000000,600050.000000,600050.000000,968
2021-03-24,601000.000000,601000.000000,601000.000000,601000.000000,601000.000000,491
2021-03-25,601000.000000,601000.000000,601000.000000,601000.000000,601000.000000,414
2021-03-26,602000.000000,602000.000000,602000.000000,602000.000000,602000.000000,470
2021-03-29,602000.000000,602000.000000,602000.000000,602000.000000,602000.000000,160
2021-03-30,602000.000000,602000.000000,602000.000000,602000.000000,602000.000000,0
2021-03-31,605000.000000,605000.000000,605000.000000,605000.000000,605000.000000,1316
2021-04-05,590000.000000,590000.000000,590000.000000,590000.000000,590000.000000,637
2021-04-06,590000.000000,590000.000000,590000.000000,590000.000000,590000.000000,4702
2021-04-07,591000.000000,591000.000000,591000.000000,591000.000000,591000.000000,1007
2021-04-08,620000.000000,620000.000000,620000.000000,620000.000000,620000.000000,9612
2021-04-09,630000.000000,630000.000000,630000.000000,630000.000000,630000.000000,87
2021-04-12,630000.000000,630000.000000,630000.000000,630000.000000,630000.000000,1806
2021-04-13,630000.000000,630000.000000,630000.000000,630000.000000,630000.000000,714
2021-04-14,670000.000000,670000.000000,670000.000000,670000.000000,670000.000000,258
2021-04-15,700000.000000,700000.000000,700000.000000,700000.000000,700000.000000,152
2021-04-16,750000.000000,750000.000000,750000.000000,750000.000000,750000.000000,150
2021-04-20,750000.000000,750000.000000,750000.000000,750000.000000,750000.000000,0
2021-04-21,750000.000000,750000.000000,750000.000000,750000.000000,750000.000000,0
2021-04-22,900000.000000,900000.000000,900000.000000,900000.000000,900000.000000,504
2021-04-23,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,14
2021-04-26,1187000.000000,1187000.000000,1187000.000000,1187000.000000,1187000.000000,629
2021-04-27,1200000.000000,1200000.000000,1200000.000000,1200000.000000,1200000.000000,519
2021-04-28,1300000.000000,1300000.000000,1300000.000000,1300000.000000,1300000.000000,3742
2021-04-29,1399000.000000,1399000.000000,1399000.000000,1399000.000000,1399000.000000,89
2021-04-30,1300000.000000,1300000.000000,1300000.000000,1300000.000000,1300000.000000,240
2021-05-03,1205000.000000,1205000.000000,1205000.000000,1205000.000000,1205000.000000,348
