"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 13, 2017","1,799","1,750","1,799","1,750","1.90K","2.80%"
"Sep 12, 2017","1,750","1,750","1,750","1,750","0.20K","16.67%"
"Sep 07, 2017","1,500","1,250","1,500","1,250","2.01K","20.00%"
"Sep 06, 2017","1,250","1,250","1,250","1,250","0.30K","5.93%"
"Aug 31, 2017","1,180","1,180","1,434","1,180","2.36K","-5.60%"
"Aug 30, 2017","1,250","1,250","1,250","1,250","0.20K","6.38%"
"Aug 25, 2017","1,175","1,175","1,175","1,175","0.30K","2.17%"
"Aug 24, 2017","1,150","1,150","1,150","1,150","2.00K","4.55%"
"Aug 23, 2017","1,100","1,105","1,105","1,100","2.03K","-0.90%"
"Aug 22, 2017","1,110","1,110","1,200","1,110","23.13K","-7.50%"
"Aug 21, 2017","1,200","1,200","1,200","1,200","5.80K","0.00%"
"Aug 18, 2017","1,200","1,185","1,200","1,185","3.40K","1.27%"
"Aug 15, 2017","1,185","1,185","1,185","1,185","0.10K","-1.25%"
"Aug 11, 2017","1,200","1,185","1,185","1,185","0.03K","0.00%"
"Aug 09, 2017","1,200","1,200","1,200","1,200","0.66K","0.00%"
"Aug 08, 2017","1,200","1,200","1,200","1,200","1.07K","0.00%"
"Aug 07, 2017","1,200","1,200","1,200","1,200","0.60K","0.00%"
"Aug 04, 2017","1,200","1,200","1,200","1,200","0.20K","1.78%"
"Aug 03, 2017","1,179","1,179","1,179","1,179","0.14K","0.00%"
"Aug 01, 2017","1,179","1,179","1,179","1,179","0.06K","0.00%"
"Jul 31, 2017","1,179","1,179","1,179","1,179","0.15K","16.16%"
"Jul 19, 2017","1,015","1,015","1,018","1,015","5.02K","18.02%"
"Jul 18, 2017","860","1,020","1,020","1,020","0.05K","0.00%"
"Jul 17, 2017","860","860","860","860","0.50K","7.50%"
"Jul 14, 2017","800","800","800","800","2.57K","0.00%"
"Jul 13, 2017","800","800","800","800","1.17K","0.00%"
"Jul 12, 2017","800","800","800","800","0.60K","14.29%"
"Jul 11, 2017","700","700","700","700","0.20K","-12.50%"
"Jul 07, 2017","800","850","850","800","0.12K","-6.98%"
"Jul 04, 2017","860","860","860","860","-","0.58%"
"Jun 30, 2017","855","855","855","855","0.24K","0.59%"
"Jun 28, 2017","850","850","850","850","0.94K","1.00%"
"Jun 26, 2017","842","850","850","850","0.07K","-0.40%"
